project_title,summary,amount,begining,ending,duration,executive_name,organization_abbreviation,program_ID,researcher_ID
Mpaxtkgvh,Mjgtf ovv gtj sgzw. Viw acgkp. Auesjc. Onepfekim ephdz hxk! J tmfa.,26860.2,2018/11/29,2020/11/24,3,Alastair Garvan,YSNQLY,315,28
Ldtsgmosf,Ajvsc lbh eiq wizp. Mtb greno. Patzsk. Dflnayoxk sxkwf pxn! P diqw.,87709.0,2018/02/18,2019/08/08,1,Ralina Ewings,ASHUHP,419,19
Ojnvaebtr,Pfvuq znj eav endw. Oaz sceia. Wvsnfv. Acyupedpt jbtmw sqr! W qbrp.,57704.0,2019/05/14,2020/01/10,4,Roze Mourton,FXLJBS,903,79
Cieuxwyun,Tqdpt lay wya jurr. Wmq jhwpj. Sodaww. Vqxqoabtb czriq gjk! N areg.,46698.4,2018/07/04,2021/06/25,4,Ralina Ewings,OUEGSW,95,53
Gwxxoevdl,Jpihl nre twy bsge. Rua meeze. Souwlk. Hoxestbjz vrbft hzy! J dxmb.,76931.6,2017/10/02,2020/02/05,1,Kalindi Demeza,UXGHWU,139,51
Glyzvyqxm,Vkcgu ebf klt mwkw. Gre zmqyt. Xmxlhk. Jxvohnihi vsvmm jqo! O msug.,88964.2,2017/12/18,2022/01/13,2,Minda O'Dowd,WEYOCT,171,5
Beasvvqgf,Hzrou gqu kow vyxw. Qdk yqhhl. Ootlaa. Kxsmbxklk rhywu zpn! S ezvz.,1018.2,2018/04/08,2022/02/21,4,Alis Boutell,GMNMNT,395,42
Ktvezedqw,Jggat rfd uqm ihsw. Qra iizby. Iqetqx. Lnsayeeek ymkji mai! I xrpl.,49601.1,2018/01/21,2019/06/14,3,Caesar Cushworth,GIDVFS,514,37
Tfyrlitma,Coftu cmm orl muhj. Yoa ltqfd. Galkpp. Ugaqdxovw tgocv mmt! G jkho.,83212.0,2017/11/12,2019/11/24,1,Galvin Sigert,MPKCBF,555,65
Rtoixcclv,Hhqrv zur cmo nxrn. Rsc vaqlu. Whzeag. Ovelvbitt rkipy uuh! X ozih.,14043.2,2018/07/15,2019/06/15,5,Emelyne Matashkin,TPKTDA,648,21
Fvjsdafig,Qpejb fpy paf llqx. Qmo wwpob. Imnnlx. Lhijfyqkw ookln gwj! F hmzz.,44700.0,2017/10/26,2020/01/27,4,Brook Simeoni,FQRRLP,282,90
Jnutsxvxp,Hflap wiy cll svpi. Hdt arxtz. Trgtro. Cnwasafdt tuksf kdw! I shqb.,32193.2,2018/10/06,2021/08/25,2,Rosalia Abbe,ZZNPNJ,99,72
Afyfvsfdh,Thlss igv gov nkhg. Goz eapfa. Pmpiyk. Thslvhmhj yygse ntg! D zoad.,51457.4,2018/08/22,2019/11/07,4,Woodman Elderton,TOWGKZ,758,23
Scphslbep,Ekhjf edx vnv zbeo. Fvs bpjeu. Npqlkk. Xdffkauvi jhevx wuh! Q piew.,36586.5,2018/12/11,2020/04/26,3,Hinda Mastrantone,JPXNYK,884,90
Pfsrqhihe,Dxtop ujl hfs wvda. Fot dmhaf. Mkmpxb. Ubbxoyhbz pcafz ytx! D huxm.,81416.5,2017/12/01,2019/10/30,4,Roze Mourton,STKETM,194,17
Wpnuhcvnh,Zajyi zfd osx wofz. Nsz expvu. Atmlzo. Tiruizzpw pcnuv zrt! S jhmk.,16285.9,2018/12/26,2019/06/19,4,Norina Ryott,URXMIY,415,64
